168.7539063     ,169.7611828,no match,,,,,,,,,,
573.21875       ,574.2260265,no match,,,,,,,,,,
837.4841919     ,838.4914684,no match,,,,,,,,,,
568.34375       ,569.3510265,no match,,,,,,,,,,
844.5352173     ,845.5424938,no match,,,,,,,,,,
259.8395996     ,260.8468761,no match,,,,,,,,,,
819.5308228     ,820.5380993,no match,,,,,,,,,,
336.9735413     ,337.9808178,no match,,,,,,,,,,
221.1309509     ,222.1382274,no match,,,,,,,,,,
609.184021     ,610.1912975,610.189770423   ,C28H34O15, , 14N , , , , , , Hesperidin      C09755  11943,
609.184021     ,610.1912975,610.189770423   ,C28H34O15       12C , , 14N , , , , , , Neohesperidin   C09806  11994,
198.9355621     ,199.9428386,no match,,,,,,,,,,
698.9113159     ,699.9185924,no match,,,,,,,,,,
178.9766846     ,179.9839611,no match,,,,,,,,,,
745.50354       ,746.5108165,no match,,,,,,,,,,
719.4897461     ,720.4970226,no match,,,,,,,,,,
559.3127441     ,560.3200206,no match,,,,,,,,,,
426.9827576     ,427.9900341,no match,,,,,,,,,,
314.9890137     ,315.9962902,no match,,,,,,,,,,
297.153717     ,298.1609935,no match,,,,,,,,,,
693.4509277     ,694.4582042,no match,,,,,,,,,,
550.3328247     ,551.3401012,no match,,,,,,,,,,
168.8888855     ,169.896162,no match,,,,,,,,,,
204.8921051     ,205.8993816,no match,,,,,,,,,,
675.3601685     ,676.367445,no match,,,,,,,,,,
293.0881348     ,294.0954113,294.095082177   ,C11H18O9        12C , , 14N , , , , , , Tuliposide B    C08570  10763,
297.1528931     ,298.1601696,no match,,,,,,,,,,
1185.536987     ,1186.544263,no match,,,,,,,,,,
308.9986267     ,310.0059032,no match,,,,,,,,,,
512.2957764     ,513.3030529,no match,,,,,,,,,,
242.1760864     ,243.1833629,no match,,,,,,,,,,
308.978302     ,309.9855785,309.985484248   ,C5H12O11P2      12C , , 14N , , , , , ," D-Ribulose 1,5-bisphosphate   ", C01182  4409
308.978302     ,309.9855785,309.985484248   ,C5H12O11P2      12C , , 14N , , , , , ," D-Ribose 1,5-bisphosphate     ", C01151  4380
308.978302     ,309.9855785,309.985484248   ,C5H12O11P2      12C , , 14N , , , , , , D-Ribose 5-diphosphate  C01095 ,4330
228.0696869     ,229.0769634,no match,,,,,,,,,,
460.2272949     ,461.2345714,no match,,,,,,,,,,
437.2683105     ,438.275587,no match,,,,,,,,,,
385.2240601     ,386.2313366,386.230453446   ,C20H34O7        12C , , 14N , , , , , , Oleandolide     C11990  14151,
839.4992676     ,840.5065441,no match,,,,,,,,,,
213.9632874     ,214.9705639,no match,,,,,,,,,,
293.1798096     ,294.1870861,no match,,,,,,,,,,
253.1446686     ,254.1519451,no match,,,,,,,,,,
647.204834     ,648.2121105,no match,,,,,,,,,,
706.3898315     ,707.397108,no match,,,,,,,,,,
191.1068878     ,192.1141643,192.115029758   ,C12H16O2        12C , , 14N , , , , , , Ibufenac        C13461  586200,
191.1068878     ,192.1141643,192.115029758   ,C12H16O2        12C , , 14N , , , , , , Thymyl acetate  C09909  12095,
840.5028687     ,841.5101452,no match,,,,,,,,,,
315.0516968     ,316.0589733,316.05830274   ,C16H12O7        12C , , 14N , , , , , , Rhamnetin       C10176  12362,
